,0
0,0
1,0
2,2
3,4
4,7
5,1
6,0
7,9
8,2
9,9
10,7
11,2
12,9
13,1
14,1
15,9
16,4
17,7
18,4
19,9
20,4
21,0
22,7
23,0
24,7
25,7
26,1
27,7
28,7
29,7
30,1
31,4
32,4
33,5
34,5
35,7
36,4
37,7
38,4
39,7
40,1
41,7
42,9
43,4
44,4
45,3
46,7
47,6
48,7
49,4
50,7
51,0
52,5
53,4
54,9
55,7
56,2
57,7
58,7
59,5
60,1
61,3
62,1
63,4
64,0
65,1
66,5
67,9
68,7
69,1
70,6
71,6
72,1
73,4
74,5
75,1
76,0
77,7
78,1
79,7
80,4
81,5
82,4
83,4
84,2
85,4
86,7
87,7
88,4
89,9
90,0
91,7
92,0
93,9
94,1
95,9
96,6
97,7
98,1
99,1
100,0
101,0
102,9
103,0
104,7
105,0
106,7
107,0
108,7
109,6
110,5
111,1
112,4
113,9
114,7
115,4
116,2
117,6
118,7
119,6
120,9
121,1
122,2
123,5
124,7
125,7
126,4
127,7
128,5
129,7
130,4
131,5
132,3
133,2
134,2
135,7
136,5
137,4
138,2
139,7
140,5
141,2
142,0
143,7
144,5
145,6
146,2
147,1
148,4
149,7
150,4
151,7
152,5
153,9
154,7
155,4
156,0
157,4
158,2
159,2
160,7
161,0
162,4
163,9
164,1
165,5
166,9
167,0
168,0
169,4
170,0
171,1
172,7
173,7
174,4
175,7
176,5
177,0
178,4
179,5
180,7
181,4
182,7
183,6
184,0
185,0
186,6
187,9
188,7
189,7
190,9
191,7
192,0
193,1
194,7
195,1
196,0
197,7
198,4
199,0
200,4
201,0
202,2
203,8
204,5
205,0
206,4
207,3
208,1
209,6
210,7
211,7
212,5
213,3
214,0
215,2
216,7
217,6
218,5
219,7
220,1
221,0
222,4
223,0
224,2
225,1
226,5
227,3
228,1
229,5
230,0
231,5
232,4
233,0
234,2
235,4
236,1
237,0
238,1
239,1
240,7
241,3
242,1
243,7
244,0
245,4
246,1
247,3
248,7
249,2
250,5
251,0
252,4
253,0
254,7
255,1
256,1
257,4
258,9
259,4
260,3
261,0
262,1
263,9
264,5
265,6
266,1
267,2
268,5
269,2
270,5
271,1
272,2
273,0
274,4
275,3
276,5
277,0
278,0
279,0
280,4
281,0
282,6
283,8
284,4
285,7
286,4
287,1
288,7
289,0
290,1
291,0
292,7
293,4
294,4
295,9
296,4
297,7
298,5
299,0
300,7
301,1
302,1
303,5
304,2
305,7
306,4
307,2
308,2
309,5
310,0
311,9
312,1
313,4
314,7
315,5
316,0
317,7
318,9
319,0
320,4
321,1
322,1
323,1
324,0
325,3
326,0
327,4
328,1
329,7
330,1
331,0
332,9
333,5
334,9
335,4
336,7
337,0
338,4
339,0
340,0
341,1
342,5
343,4
344,3
345,1
346,0
347,2
348,9
349,1
350,7
351,7
352,0
353,7
354,3
355,7
356,2
357,2
358,7
359,7
360,3
361,6
362,1
363,6
364,4
365,4
366,2
367,9
368,4
369,0
370,7
371,7
372,1
373,7
374,6
375,0
376,4
377,1
378,4
379,4
380,7
381,0
382,1
383,7
384,2
385,6
386,1
387,7
388,2
389,0
390,6
391,5
392,4
393,7
394,7
395,1
396,0
397,0
398,7
399,1
400,9
401,1
402,1
403,7
404,0
405,0
406,1
407,2
408,6
409,1
410,4
411,7
412,7
413,2
414,1
415,1
416,9
417,0
418,9
419,1
420,9
421,5
422,9
423,5
424,4
425,4
426,0
427,7
428,1
429,0
430,2
431,2
432,5
433,7
434,1
435,0
436,6
437,5
438,4
439,1
440,1
441,7
442,4
443,4
444,4
445,0
446,7
447,0
448,5
449,5
450,1
451,1
452,5
453,7
454,7
455,7
456,0
457,0
458,1
459,6
460,2
461,4
462,5
463,7
464,1
465,5
466,1
467,0
468,2
469,0
470,1
471,9
472,1
473,0
474,7
475,6
476,7
477,0
478,4
479,0
480,6
481,0
482,2
483,5
484,9
485,0
486,7
487,7
488,7
489,2
490,7
491,7
492,5
493,4
494,7
495,1
496,1
497,7
498,0
499,4
500,2
501,5
502,9
503,0
504,0
505,7
506,4
507,1
508,1
509,7
510,1
511,2
512,9
513,5
514,9
515,9
516,1
517,1
518,4
519,7
520,5
521,4
522,9
523,7
524,9
525,0
526,1
527,0
528,6
529,5
530,1
531,4
532,4
