label0,label,cluster,texts,x1,x2,doc,original_text
ham,0,8,"Text(28.04069, -8.907845, 'go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat')",28.04069,-8.907845,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,0,8,"Text(18.187618, 7.7012143, 'ok lar joking wif u oni')",18.187618,7.7012143,ok lar joking wif u oni,Ok lar... Joking wif u oni...
spam,1,1,"Text(12.168313, -35.148525, 'free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry question std txt rate t c s apply over s')",12.168313,-35.148525,free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry question std txt rate t c s apply over s,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,0,4,"Text(-39.148434, 11.639789, 'u dun say so early hor u c already then say')",-39.148434,11.639789,u dun say so early hor u c already then say,U dun say so early hor... U c already then say...
ham,0,9,"Text(3.3026268, 29.553892, 'nah i don t think he goes to usf he lives around here though')",3.3026268,29.553892,nah i don t think he goes to usf he lives around here though,"Nah I don't think he goes to usf, he lives around here though"
spam,1,6,"Text(-17.470043, -5.546701, 'freemsg hey there darling it s been week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send to rcv')",-17.470043,-5.546701,freemsg hey there darling it s been week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send to rcv,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv"
ham,0,8,"Text(19.293886, 0.8432943, 'even my brother is not like to speak with me they treat me like aids patent')",19.293886,0.8432943,even my brother is not like to speak with me they treat me like aids patent,Even my brother is not like to speak with me. They treat me like aids patent.
ham,0,7,"Text(-8.281929, -30.444345, 'as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune')",-8.281929,-30.444345,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam,1,1,"Text(9.87377, -37.03966, 'winner as a valued network customer you have been selected to receivea prize reward to claim call claim code kl valid hours only')",9.87377,-37.03966,winner as a valued network customer you have been selected to receivea prize reward to claim call claim code kl valid hours only,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
spam,1,7,"Text(-1.526732, -41.27622, 'had your mobile months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on')",-1.526732,-41.27622,had your mobile months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,0,9,"Text(-10.413862, 26.571156, 'i m gonna be home soon and i don t want to talk about this stuff anymore tonight k i ve cried enough today')",-10.413862,26.571156,i m gonna be home soon and i don t want to talk about this stuff anymore tonight k i ve cried enough today,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,1,1,"Text(8.08454, -41.131805, 'six chances to win cash from to pounds txt csh and send to cost p day days tsandcs apply reply hl info')",8.08454,-41.131805,six chances to win cash from to pounds txt csh and send to cost p day days tsandcs apply reply hl info,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
spam,1,7,"Text(-6.3081713, -38.41955, 'urgent you have won a week free membership in our prize jackpot txt the word claim to no t c www dbuk net lccltd pobox ldnw a rw')",-6.3081713,-38.41955,urgent you have won a week free membership in our prize jackpot txt the word claim to no t c www dbuk net lccltd pobox ldnw a rw,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,0,6,"Text(1.7714701, 6.1203094, 'i ve been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times')",1.7714701,6.1203094,i ve been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
ham,0,6,"Text(3.5695326, -9.432457, 'i have a date on sunday with will')",3.5695326,-9.432457,i have a date on sunday with will,I HAVE A DATE ON SUNDAY WITH WILL!!
spam,1,7,"Text(-7.1026583, -32.272972, 'xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here http wap xxxmobilemovieclub com n qjkgighjjgcbl')",-7.1026583,-32.272972,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here http wap xxxmobilemovieclub com n qjkgighjjgcbl,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,0,0,"Text(-21.771093, 24.375435, 'oh k i m watching here')",-21.771093,24.375435,oh k i m watching here,Oh k...i'm watching here:)
ham,0,9,"Text(-1.5698574, 23.859543, 'eh u remember how spell his name yes i did he v naughty make until i v wet')",-1.5698574,23.859543,eh u remember how spell his name yes i did he v naughty make until i v wet,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
ham,0,0,"Text(-20.407528, 13.827175, 'fine if that s the way u feel that s the way its gota b')",-20.407528,13.827175,fine if that s the way u feel that s the way its gota b,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b
spam,1,1,"Text(1.1906018, -36.35488, 'england v macedonia dont miss the goals team news txt ur national team to eg england to try wales scotland txt poboxox w wq')",1.1906018,-36.35488,england v macedonia dont miss the goals team news txt ur national team to eg england to try wales scotland txt poboxox w wq,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+"
ham,0,0,"Text(-29.251467, 23.271084, 'is that seriously how you spell his name')",-29.251467,23.271084,is that seriously how you spell his name,Is that seriously how you spell his name?
ham,0,3,"Text(23.619312, -8.762427, 'i m going to try for months ha ha only joking')",23.619312,-8.762427,i m going to try for months ha ha only joking,I‰Û÷m going to try for 2 months ha ha only joking
ham,0,9,"Text(12.160342, 11.515349, 'so pay first lar then when is da stock comin')",12.160342,11.515349,so pay first lar then when is da stock comin,So Ì_ pay first lar... Then when is da stock comin...
ham,0,8,"Text(19.523314, 7.8373227, 'aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already')",19.523314,7.8373227,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
ham,0,9,"Text(10.41583, 20.03189, 'ffffffffff alright no way i can meet up with you sooner')",10.41583,20.03189,ffffffffff alright no way i can meet up with you sooner,Ffffffffff. Alright no way I can meet up with you sooner?
ham,0,9,"Text(-3.0974355, 22.004095, 'just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol')",-3.0974355,22.004095,just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
ham,0,6,"Text(-11.266785, -2.45545, 'lol your always so convincing')",-11.266785,-2.45545,lol your always so convincing,Lol your always so convincing.
ham,0,9,"Text(6.8074265, 23.220856, 'did you catch the bus are you frying an egg did you make a tea are you eating your mom s left over dinner do you feel my love')",6.8074265,23.220856,did you catch the bus are you frying an egg did you make a tea are you eating your mom s left over dinner do you feel my love,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
ham,0,9,"Text(-12.863463, 27.837908, 'i m back amp we re packing the car now i ll let you know if there s room')",-12.863463,27.837908,i m back amp we re packing the car now i ll let you know if there s room,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
ham,0,9,"Text(16.987747, 24.500933, 'ahhh work i vaguely remember that what does it feel like lol')",16.987747,24.500933,ahhh work i vaguely remember that what does it feel like lol,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
